nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Marko Damiani,0.0,182.88,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
Leonardo Damiani,35.63013698630137,177.8,77.11064,175.26,1.67,4.17,0.23,0.37,0.0,0.0,0.5,0.0,10,3,
Rodrigo Damm,46.20821917808219,170.18,70.30676,180.34,3.5,5.61,0.36,0.57,0.44,0.16,0.8,0.3,13,9,
Carina Damm,0.0,162.56,61.23492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13,
Batgerel Danaa,36.78630136986301,170.18,61.23492,177.8,5.38,4.21,0.36,0.47,0.52,0.5,0.62,0.0,12,5,
Cindy Dandois,41.47671232876712,170.18,61.23492,0.0,3.13,3.4,0.32,0.58,5.0,0.55,0.0,0.0,8,3,
Peter Danesoe,25.616438356164384,175.26,61.23492,172.72,4.99,6.73,0.52,0.38,0.0,0.0,0.62,0.0,8,4,
Jarjis Danho,42.50958904109589,190.5,120.20188,187.96,3.38,5.25,0.5,0.49,0.51,0.16,1.0,0.0,7,1,
Jose Daniel Medina,34.917808219178085,182.88,83.91452,187.96,2.13,5.34,0.36,0.46,0.39,0.33,0.27,0.0,11,7,
Raymond Daniels,45.97260273972603,187.96,83.91452,0.0,0.0,2.61,0.0,0.38,0.0,0.0,0.33,3.0,0,1,
Marques Daniels,47.84931506849315,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,
Anvarbek Daniyalbekov,30.887671232876713,0.0,83.91452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,
Alexandre Dantas,47.136986301369866,187.96,107.954896,0.0,0.21,1.87,0.25,0.6,0.0,0.0,0.0,3.1,0,3,
Eduardo Dantas,37.2,177.8,61.23492,0.0,3.33,3.0,0.6,0.6,4.0,0.23,1.0,0.0,20,4,
Mac Danzig,46.295890410958904,172.72,70.30676,177.8,3.39,3.44,0.48,0.57,1.2,0.37,0.46,0.6,21,12,
Karen Darabedyan,39.33150684931507,170.18,70.30676,172.72,3.43,2.62,0.51,0.67,2.14,0.75,0.0,0.0,13,6,
Beneil Dariush,36.94794520547945,177.8,70.30676,182.88,3.78,2.62,0.49,0.57,2.11,0.38,0.82,0.8,23,7,
Sean Daugherty,50.37808219178082,182.88,79.3786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,
Kyle Daukaus,33.131506849315066,187.96,83.91452,193.04,3.32,2.9,0.53,0.42,2.08,0.25,0.82,2.1,17,4,
Chris Daukaus,36.558904109589044,190.5,92.98636,193.04,6.05,4.64,0.5,0.55,0.0,0.0,1.0,0.0,12,7,
Brian Davidson,50.41095890410959,167.64000000000001,65.77083999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,
Rick Davis,0.0,175.26,70.30676,0.0,3.09,6.19,0.5,0.64,0.0,0.0,0.0,0.0,3,1,
Marcus Davis,52.657534246575345,177.8,77.11064,177.8,2.72,2.79,0.39,0.65,1.6,0.48,0.47,1.4,22,11,
LC Davis,45.47397260273973,172.72,61.23492,175.26,2.04,2.1,0.3,0.59,2.27,0.46,0.66,0.2,23,8,
Phil Davis,41.56164383561644,187.96,92.98636,200.66,2.85,1.33,0.34,0.72,2.99,0.38,0.72,0.6,17,4,
Lemont Davis,0.0,172.72,77.11064,0.0,0.87,1.27,0.54,0.55,1.0,0.5,0.0,1.0,2,6,
Mike Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,
Justin Davis,43.04931506849315,180.34,92.98636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,16,
Alexis Davis,41.536986301369865,167.64000000000001,61.23492,172.72,4.63,4.45,0.49,0.54,0.95,0.44,0.34,0.7,21,11,
Danny Davis,43.726027397260275,187.96,77.11064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11,
Brandon Davis,35.942465753424656,177.8,61.23492,182.88,4.68,4.62,0.35,0.58,0.74,0.42,0.57,0.1,14,10,
Mike Davis,33.52328767123288,182.88,70.30676,182.88,4.73,5.23,0.53,0.54,2.4,0.44,0.6,0.8,12,3,
Hakeem Dawodu,34.79178082191781,172.72,65.77083999999999,185.42000000000002,5.45,3.37,0.5,0.56,0.0,0.0,0.65,0.0,13,4,
Grant Dawson,32.15068493150685,177.8,70.30676,182.88,3.21,2.13,0.52,0.44,3.81,0.39,0.57,1.1,23,3,
